Sample name	Full label
E7R_037e01_(HG-U133_Plus_2).CEL	0
L3278_(HG-U133A_2).CEL	0
L3279_(HG-U133A_2).CEL	0
E7R_039a46_(HG-U133_Plus_2).CEL	ATYPICAL_PD
E7R_039a53_(HG-U133_Plus_2).CEL	ATYPICAL_PD
Neuro_Krainc-2_P02_D09_L2872_01.CEL	ATYPICAL_PD
Neuro_Krainc-2_P02_D10_L2899_01.CEL	ATYPICAL_PD
E7R_039a110_(HG-U133_Plus_2).CEL	CBD
Neuro_Krainc-2_P01_A10_L2573-2.CEL	CBD
Neuro_Krainc-2_P01_B06_L2697-2.CEL	CBD
E7R_039a01_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a04_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a101_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a104_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a106_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a107_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a108_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a112_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a113_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a114_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a11_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a13_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a18_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a20_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a23_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a31_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a34_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a35_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a48_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a49_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a52_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a57_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a66_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a80_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a81_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a83_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a87_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a96_(HG-U133_Plus_2).CEL	CONTROL
E7R_039a99_(HG-U133_Plus_2).CEL	CONTROL
E8R_012a04_2_(HG-U133_Plus_2).CEL	CONTROL
E8R_012a06_(HG-U133_Plus_2).CEL	CONTROL
E8R_012a21_(HG-U133_Plus_2).CEL	CONTROL
E8R_012a34_(HG-U133_Plus_2).CEL	CONTROL
E8R_012a37_(HG-U133_Plus_2).CEL	CONTROL
Neuro_Krainc_P01_B02_L3031_RPT.CEL	CONTROL
Neuro_Krainc_P01_B10_L3293.CEL	CONTROL
Neuro_Krainc_P01_B12_L3329.CEL	CONTROL
Neuro_Krainc_P01_B8_L3369.CEL	CONTROL
Neuro_Krainc_P01_C10_L3341.CEL	CONTROL
Neuro_Krainc_P01_C11_L3342.CEL	CONTROL
Neuro_Krainc_P01_C12_L3343.CEL	CONTROL
Neuro_Krainc_P01_C1_L3330.CEL	CONTROL
Neuro_Krainc_P01_C4_L3333.CEL	CONTROL
Neuro_Krainc_P01_C5_L3334.CEL	CONTROL
Neuro_Krainc_P01_C7_L3337_corr.CEL	CONTROL
Neuro_Krainc_P01_C8_L3338.CEL	CONTROL
Neuro_Krainc_P01_C9_L3339.CEL	CONTROL
Neuro_Krainc_P01_D10_L3358.CEL	CONTROL
Neuro_Krainc_P01_D12_L3361.CEL	CONTROL
Neuro_Krainc_P01_D1_L3344.CEL	CONTROL
Neuro_Krainc_P01_D2_L3345.CEL	CONTROL
Neuro_Krainc_P01_D3_L3346.CEL	CONTROL
Neuro_Krainc_P01_D5_L3349.CEL	CONTROL
Neuro_Krainc_P01_D6_L3350.CEL	CONTROL
Neuro_Krainc_P01_D7_L3355.CEL	CONTROL
